Last Traded Time,Company Name,Symbol,Last Traded Price(Rs),Trade Volume,Share Volume,Turnover (Rs),Change (Rs),Change (%)
,NATIONS TRUST BANK PLC,NTB.X0000,75.00,,,,0.00,0.00
,HNB FINANCE LIMITED,HNBF.X0000,4.20,,,,0.00,0.00
,LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.X0000,,,,,,
,RENUKA FOODS PLC,COCO.X0000,10.40,,,,0.00,0.00
,THE FINANCE COMPANY PLC,TFC.X0000,,,,,,
,AGSTAR PLC,AGST.X0000,5.00,,,,0.00,0.00
,CEYLON HOSPITALS PLC (DURDANS),CHL.X0000,79.50,,,,0.00,0.00
,MORISON PLC,MORI.X0000,,,,,,
,CEYLINCO INSURANCE PLC,CINS.X0000,780.60,,,,0.00,0.00
01:09 PM,SMB LEASING PLC,SEMB.X0000,0.20,4.00,340002.00,68000.50,-0.10,-33.33
01:12 PM,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.X0000,0.20,8.00,385047.00,77010.40,-0.10,-33.33
02:03 PM,LAUGFS POWER PLC,LPL.X0000,3.20,8.00,5258.00,16171.00,0.00,0.00
02:06 PM,LAUGFS GAS PLC,LGL.X0000,10.50,8.00,11151.00,118110.80,-0.10,-0.94
02:11 PM,CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,58.80,3.00,2501.00,147058.50,-0.30,-0.51
02:15 PM,RENUKA HOLDINGS PLC,RHL.X0000,9.00,6.00,21700.00,195300.00,0.00,0.00
02:15 PM,TESS AGRO PLC,TESS.X0000,0.40,5.00,229000.00,91600.00,0.00,0.00
02:21 PM,SERENDIB HOTELS PLC,SHOT.X0000,11.50,8.00,71491.00,822131.50,0.30,2.68
02:27 PM,HATTON NATIONAL BANK PLC,HNB.X0000,85.50,87.00,142571.00,12225407.70,-0.50,-0.58
02:28 PM,SEYLAN BANK PLC,SEYB.X0000,29.00,48.00,59366.00,1735552.40,-0.60,-2.03
02:28 PM,CIC HOLDINGS PLC,CIC.X0000,52.70,57.00,83012.00,4388467.30,-0.30,-0.57
02:29 PM,TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,32.00,412.00,1129696.00,36174718.30,-0.10,-0.31
02:29 PM,COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,63.20,87.00,32232.00,2034343.10,-0.10,-0.16
02:29 PM,MALWATTE VALLEY PLANTATIONS PLC,MAL.X0000,4.80,42.00,373142.00,1796646.60,-0.10,-2.04